Animal ID,ID,group,nerve_term,n_perim,poly-in,blebs,tsc_a,tsc_p,tsc_no,achr_a,achr_p,ep_a,ep_p,ep_d,synaptic,overlap,coverage_area,coverage
127,389,2mo_ko,184.368,233.826,0,4,498.9879276,156.3757842,6,359.2964775,181.8195563,489.3395692,103.8483297,43.85395682,132.9794775,37.01107186,312.1034775,86.86516486
127,390,2mo_ko,229.253,234.133,0,1,424.9472641,192.6999839,5,370.4130644,207.4665122,534.6449043,102.8672715,42.88916537,203.8740644,55.03965275,315.4590644,85.16413019
127,391,2mo_ko,68.377,30.422,0,1,823.466416,204.1090727,8,579.3209987,279.1180587,950.1535569,126.5442137,39.99150261,54.32399872,9.377184469,517.6549987,89.35546957
127,392,2mo_ko,171.573,265.452,1,1,571.3506157,191.404617,5,356.1502737,166.4783374,477.5937415,101.0353461,40.80919702,135.0772737,37.92704475,321.1222737,90.16482575
127,393,2mo_ko,364.75,322.049,0,0,629.8700069,282.7819095,3,445.0829686,283.8280632,888.6977088,115.0161026,38.71500362,288.6119686,64.84453214,390.7589686,87.7946352
127,394,2mo_ko,181.403,235.767,0,0,355.5002823,185.859947,3,296.544176,206.0804512,431.2110087,85.58654144,29.26819411,179.766176,60.62036976,257.492176,86.83096713
127,395,2mo_ko,343.155,453.843,1,0,865.6973566,299.8999111,6,421.5109655,266.1477777,714.1499293,112.1748711,37.77785181,280.1679655,66.46753903,391.1509655,92.79734041
127,396,2mo_ko,332.573,357.464,1,0,478.9553768,302.6384469,5,429.1954153,311.1567426,704.3239116,104.5595701,35.28108398,326.6524153,76.10808589,352.0994153,82.03708678
127,397,2mo_ko,109.478,123.961,0,1,474.1290307,102.3503157,6,364.8571056,113.4121159,438.9397667,90.69257056,34.98879783,46.91910561,12.8595839,297.5651056,81.55661519
127,398,2mo_ko,75.317,46.043,0,1,493.4728366,124.2537753,6,490.5918442,263.3273905,799.0638134,115.0521097,41.60112109,47.74184421,9.73147939,268.9608442,54.8237496
127,399,2mo_ko,71.819,112.148,1,1,394.9017404,186.5096185,2,450.6695213,189.2770242,591.8381476,98.10640171,34.65787118,63.79352132,14.15527749,315.0575213,69.90877049
127,400,2mo_ko,197.123,193.176,1,0,365.6624681,190.3886179,2,238.026,196.856,470.877,102.198,36.511,173.468,72.87775285,208.704,87.68117769
127,401,2mo_ko,218.56,252.435,0,0,296.176743,191.9130661,2,260.2018641,204.1378757,590.8750664,96.3118138,33.00155298,184.0628641,70.73848788,193.9198641,74.52670056
127,402,2mo_ko,272.768,338.669,0,0,482.457623,275.4099531,3,398.926911,244.5924276,688.4507654,124.3505568,43.86247614,235.314911,58.98697343,318.845911,79.92589675
127,403,2mo_ko,291.002,408.567,0,0,441.8010818,341.6974629,4,460.5277311,313.9787234,807.7099531,112.9688584,41.20338095,249.6067311,54.20015218,320.5607311,69.60725912
127,404,2mo_ko,220.285,274.097,0,1,399.666,234.253,3,307.018,218.901,590.136,97.836,34.265,196.876,64.12523044,265.129,86.35617456
194,405,3mo_ko,275.946,277.76,0,0,676.431,268.957,8,469.033,347.24,973.092,138.446,46.157,158.688,33.83301388,371.987,79.30934497
194,406,3mo_ko,0,0,0,0,982.633,322.514,9,552.896,363.918,1004.855,132.555,41.072,0,0,434.634,78.61044392
194,407,3mo_ko,250.567,145.869,0,4,466.635,114.955,4,543.769,335.779,1132.832,167.339,53.193,116.014,21.33516254,159.978,29.42021336
194,408,3mo_ko,627.84,533.318,0,0,1053.485,481.308,3,696.304,494.653,1378.69,161.485,59.926,532.291,76.4452021,638.937,91.76121349
194,409,3mo_ko,433.168,470.689,0,0,870.663,504.22,3,643.075,452.692,1448.471,171.658,54.06,370.534,57.61909575,520.253,80.90082805
194,410,3mo_ko,407.4,466.694,0,0,919.19,415.972,4,746.524,449.774,1244.207,163.387,59.156,386.334,51.75104886,656.618,87.95671673
194,411,3mo_ko,366.187,539.782,0,1,861.753,425.917,4,634.258,502.989,1245.401,140.919,49.274,330.765,52.14991376,567.573,89.48613971
194,412,3mo_ko,368.848,324.665,0,0,588.859,226.198,5,507.54,242.765,754.824,126.921,49.025,302.495,59.60022855,442.85,87.25420656
194,413,3mo_ko,547.768,427.579,0,0,933.888,383.216,4,698.172,422.895,1179.118,154.033,50.943,500.625,71.70510992,614.482,88.01298247
194,414,3mo_ko,436.598,388.099,0,4,657.292,366.366,8,518.018,338.925,880.898,131.64,44.382,336.482,64.95565791,397.709,76.77513137
194,415,3mo_ko,196.709,299.091,0,0,396.981,262.896,2,302.956,269.218,510.853,106.549,38.698,181.306,59.84565415,262.342,86.59409287
194,416,3mo_ko,393.786,354.905,0,0,503.951,341.876,2,461.091,363.877,775.571,136.472,46.16,363.592,78.85471631,382.984,83.06039372
194,417,3mo_ko,0,0,0,0,1112.917,612.826,6,670.9518116,411.2430534,1223.461027,169.2129868,52.44769137,0,0,555.7688116,82.8328953
194,418,3mo_ko,415.97,514.455,0,0,1045.295612,493.0212053,6,644.7473276,505.5217953,1298.062309,154.6304843,56.85629815,362.6833276,56.25200944,539.1773276,83.62614384
194,419,3mo_ko,440.333,343.762,1,0,682.863,309.121,5,448.809,311.298,1157.843,149.079,49.791,284.851,63.4682014,308.331,68.69982554
194,420,3mo_ko,500.356,601.952,1,0,1456.126,562.293,14,664.637,503.062,2253.809,196.089,64.175,331.923,49.94049383,520.916,78.37601578
194,421,3mo_ko,273.077,371.261,0,1,642.429723,344.8281693,5,303.1261387,230.3967677,570.0748317,132.9852357,45.66519619,207.4441387,68.4349227,273.7361387,90.30436632
194,422,3mo_ko,209.415,288.633,0,0,506.236,211.216,7,213.132,310.325,708.474,124.208,48.32,127.008,59.59123923,170.07,79.79561962
